externalId,section,description,shortDescription,nibrsUCRCodes,source,validFromTime,validToTime,severity,code,summaryCode,cjisCode,hierarchyNumber,UCR,offenseCategories,chargeType,stateOffenseCode,NCICOffenseCodes
CHG00000001,18-4-401(2)(B),THEFT $300 AND UNDER,THEFT $300 AND UNDER,23H,S,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Property,,2399,,2399,GENERAL,BOTH,,
CHG00000002,16-11-205T,PROBATION VIOLATION - TRAFFIC,PROBATION VIOLATION - TRAFFIC,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Society,,5012,,5012,GENERAL,BOTH,,
CHG00000003,42-4-901,REQUIRED POSITION AND METHOD OF TURN,REQUIRED POSITION AND METHOD OF TURN,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000004,42-4-808,FAIL TO YIELD RIGHT OF WAY TO DISABLED,FAIL TO YIELD RIGHT OF WAY TO DISABLED,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000005,16-19-103,WARRANT - FUGITIVE FROM JUSTICE OUT OF STATE - FEL,WARRANT - FUGITIVE FROM JUSTICE OUT OF STATE - FEL,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,FELONY,Society,,4902,,4902,,BOTH,,
CHG00000006,42-4-807,FAILED TO EXERCISE DUE CARE FOR PEDESTRIAN,FAILED TO EXERCISE DUE CARE FOR PEDESTRIAN,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000007,17-2-103,PAROLE VIOLATION - MIS,PAROLE VIOLATION - MIS,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Society,,5011,,5011,GENERAL,BOTH,,
CHG00000008,42-4-806,DROVE THRU/IN PEDESTRIAN SAFETY ZONE,DROVE THRU/IN PEDESTRIAN SAFETY ZONE,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000009,42-4-805,PEDESTRIAN WALK TRAVEL IN WHEELCHAIR,PEDESTRIAN WALK TRAVEL IN WHEELCHAIR,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000010,18-1-603,COMPLICITY,COMPLICITY,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Society,,7399,,7399,,BOTH,,
CHG00000011,42-4-803,CROSSING AT OTHER THAN CROSSWALKS,CROSSING AT OTHER THAN CROSSWALKS,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000012,18-11-204,MUTILATION/CONTEMPT OF FLAG,MUTILATION/CONTEMPT OF FLAG,90C,S,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Society,,5310,,5310,GENERAL,BOTH,,
CHG00000013,42-4-802,YIELD RIGHT OF WAY/PEDESTRIAN CROSSWALK,YIELD RIGHT OF WAY/PEDESTRIAN CROSSWALK,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000014,42-4-801,PEDESTRIAN DISOBEY TRAFFIC CONTROL DEVICE,PEDESTRIAN DISOBEY TRAFFIC CONTROL DEVICE,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5406,,5406,,BOTH,,
CHG00000015,18-11-205,UNLAWFUL FLAG DISPLAY,UNLAWFUL FLAG DISPLAY,90C,S,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Society,,5310,,5310,GENERAL,BOTH,,
CHG00000016,42-4-712,DRIVING IN HIGHWAY WORK AREA,DRIVING IN HIGHWAY WORK AREA,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000017,18-12-106(1)(A),WEAPONS-PROHIBITED USE-AIMS FIREARM AT ANOTHER,WEAPONS-PROHIBITED USE-AIMS FIREARM AT ANOTHER,13A,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Person,,1315,,1315,MCU,BOTH,,
CHG00000018,42-4-710,FAIL TO YIELD RIGHT OF WAY/DRIVEWAY,FAIL TO YIELD RIGHT OF WAY/DRIVEWAY,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000019,42-4-709,STOP WHEN TRAFFIC OBSTRUCTED,STOP WHEN TRAFFIC OBSTRUCTED,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000020,42-4-708,RAILROAD CROSSING-HEAVY EQUIP VIOLATION,RAILROAD CROSSING-HEAVY EQUIP VIOLATION,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000021,42-4-707,FAILED TO STOP AT RAILROAD GRADE CROSSING,FAILED TO STOP AT RAILROAD GRADE CROSSING,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000022,16-2-110,FTA-FAILURE TO APPEAR,FTA-FAILURE TO APPEAR,90Z,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Society,,5015,,5015,,BOTH,,
CHG00000023,18-12-106(1)(B),WEAPONS-PROHIBITED USE-RECKLESSLY DISCHARGES,WEAPONS-PROHIBITED USE-RECKLESSLY DISCHARGES,520,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,Society,,5299,,5299,GENERAL,BOTH,,
CHG00000024,42-4-706,DISREGARDED RAILROAD SIGNAL,DISREGARDED RAILROAD SIGNAL,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,,BOTH,,
CHG00000025,42-2-705,FAILURE TO YIELD ROW TO EMERGENCY VEHICLE,FAILURE TO YIELD ROW TO EMERGENCY VEHICLE,NOT_APPLICABLE,,2001-01-01T07:00:00Z,2999-01-01T07:00:00Z,MISDEMEANOR,ZZ,,5405,,5405,TRAFFIC,BOTH,,
